Data Item,Description,Type,Unit,Function
Vehicle.Body.Lights.IsRearFogOn,An indication of whether the rear fog  light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsRightIndicatorOn,An indication of whether the turn right indicator light is currently activated.,boolean,-,rw
Vehicle.Body.Lights.IsRunningOn,An indication of whether the running light is currently activated.,boolean,-,rw
Vehicle.Body.Mirror.Heating,Mirror heating status. True = Heater On. False = Heater Off.,boolean,-,rw
Vehicle.Body.Mirror.Pan,Mirror pan position.  100 = left;  0 = center;-100 = right;,number,%,rw
Vehicle.Body.Mirror.Tilt,Mirror tilt position.  100 = up;  0 = center;-100 = down;,number,%,rw
Vehicle.Body.Raindetection.IsActive,Reports the status of rain detection sytem.  True = Enabled. False = Disabled.,boolean,-,r
Vehicle.Body.Raindetection.Intensity,Rain intensity value as a percent.,number,%,r
Vehicle.Body.RefuelPosition,Location of the fuel cap on the vehicle body. String.,string,-,r
Vehicle.Body.Trunk.IsLocked,An indication of the current lock status of the trunk door.,boolean,-,rw
Vehicle.Body.Trunk.IsOpen,An indication of whether the boot lid is currently open.,boolean,-,rw
Vehicle.Body.Trunk.IsSafeLocked,An indication of the current safe lock status of the trunk door.,boolean,-,rw
Vehicle.Body.Windshield.Heating.IsEngaged,Windshield heating status. True = heating on. False = heating off.,boolean,-,rw
Vehicle.Body.Windshield.WasherFluid.Level,Washer fluid level as a percent.,number,%,r
Vehicle.Body.Windshield.WasherFluid.LevelLow,Low level indication for washer fluid. True =  Low. False = OK.,boolean,-,r
Vehicle.Body.Windshield.Wiper.IsEngaged,Windshield Wiper status. True = wiper on. False = wiper off.,boolean,-,rw
Vehicle.Body.Windshield.Wiper.Speed,"Wiper speed, enumerated and returned as a string. Example: SECOND.",boolean,-,rw
Vehicle.Cabin.Airbag.Error,An indication of whether a fault signal for the airbag is issued. True = Error. False = No error.,boolean,-,r
Vehicle.Cabin.Airbag.IsActive,An indication of the current activation status of the airbag. True = Enabled. False = Disabled.,boolean,-,rw
Vehicle.Cabin.Airbag.IsDeployed,An indication of whether the airbag was deployed after a firing from airbag triggers.,boolean,-,r
Vehicle.Cabin.Airbag.IsReleased,An indication of whether an airbag was released. Set to off by default.,boolean,-,r
Vehicle.Cabin.Airbag.IsTriggered,An indication of whether the airbag triggers have activated after sensor data exceeded threshold levels. Set to off by default.,boolean,-,r
Vehicle.Cabin.Airbag.WarningLamp,An indication of whether a warning signal for the airbag system is issued. Set to off by default.,boolean,-,r
Vehicle.Cabin.Convertible.State,An indication of the current status of the convertible roof.,string,-,rw
Vehicle.Cabin.Dashboard.ABSDisabledWIL,ABS disabled warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.AdaptiveCruiseControlWarmupWIL,Adaptive cruise control warnig lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.AirFilterWIL,Air filter warnig lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.AirSuspensionWIL,Air suspension warnig lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.AntiTheftEnabledWIL,Theft detection system enablement status.,boolean,-,r
Vehicle.Cabin.Dashboard.AWDDisabledWIL,All wheel drive diabled warnig lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.BatteryWIL,An indication of whether a warning signal for the battery is issued.,boolean,-,r
Vehicle.Cabin.Dashboard.BlindSpotDetectionWIL,Blind spot detection warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.BrakeWIL,Brakes warnibg lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.ChargeSystemWIL,Charge system warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.CheckControlMessages,Check control messages warning light status.,boolean,-,r
Vehicle.Cabin.Dashboard.CheckFuelCapWIL,Fuel cap warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.CheckFuelInletWIL,Fuel inlet warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.CoolantLevelWIL,An indication of whether the coolant level is low and in need of a refill.,boolean,-,r
Vehicle.Cabin.Dashboard.CoolantTemperatureWIL,An indication of whether a warning signal for the coolant temperature is issued.,boolean,-,r
Vehicle.Cabin.Dashboard.DieselEngineWIL,Check diesel engine warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.DieselIdleShutdownWIL,Disel Idle shutdown warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.EVDischargeWarning,EV Battery discharge warning.,boolean,-,r
Vehicle.Cabin.Dashboard.ExhaustFluidLowWIL,Exhaust fluid low warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.ExhaustFluidWIL,Exhause fluid warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.ExhaustOverTempWIL,Exhaust high temperature warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.FastenSeatbeltWIL,An indication of whether the seatbelt buckle is not fastened for an occupied seat.,boolean,-,r
Vehicle.Cabin.Dashboard.ForwardCollisionWIL,Forward collision warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.FuelDoorOpenWIL,Fuel door open warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.HEVHazardWIL,HEV Hazard warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.HillControlFaultWIL,Hill control fault warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.HillStartAssistWIL,Hill start assist warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.KeylessEntryWIL,Keyless entry warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.LaneAidWIL,Lane aid warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.LightingFailureWIL,Lighting failure warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.LowFuelLevelWIL,An indication of whether the fuel level is running low and in need of a refill.,boolean,-,r
Vehicle.Cabin.Dashboard.LowOilLevelWIL,An indication of whether the oil level is low and in need of a refill.,boolean,-,r
Vehicle.Cabin.Dashboard.MILStatus,An indication of whether MIL signal was issued.,boolean,-,r
Vehicle.Cabin.Dashboard.OilPressureWIL,An indication of whether the oil pressure is outside of normal bounds. Set to off by default.,boolean,-,r
Vehicle.Cabin.Dashboard.OilTemperatureWIL,An indication of whether the oil temperature is high. Set to off by default.,boolean,-,r
Vehicle.Cabin.Dashboard.ParkAidMalfunctionWIL,Par aid error warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.ParkingBrakeWIL,An indication whenever parking barke ON signal was issued.,boolean,-,r
Vehicle.Cabin.Dashboard.ParticulateFilterWIL,An indication of whether a warning signal for the diesel particulate filter is issued. Set to off by default.,boolean,-,r
Vehicle.Cabin.Dashboard.PowerSteeringWIL,An indication of whether the power steering system is currently encountering a problem. Set to off by default.,boolean,-,r
Vehicle.Cabin.Dashboard.PowerTrainWIL,Powertrain warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.PreHeatWIL,Pre heat warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.ServiceAndStopWIL,Service & Stop Lights Blinking Request.,boolean,-,r
Vehicle.Cabin.Dashboard.SRSDisabledWIL,SRS disabled warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.StartStopEngineWIL,Start-stop warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.TireWIL,An indication of whenever tire warning signal was issued.,boolean,-,r
Vehicle.Cabin.Dashboard.TractionControlDisabledWIL,Traction control disabled warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.TractionControlInWorkWIL,Traction control is engaged warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.TrailerBrakeConnectionWIL,Trailer brakes connection warning lamp status.,boolean,-,r
Vehicle.Cabin.Dashboard.WaterInFuelWIL,An indication of whether water in fuel error was issued.,boolean,-,r
Vehicle.Cabin.Dashboard.WiperFluidLowWIL,Wiper fluid low warning lamp status.,boolean,-,r
Vehicle.Cabin.Door.IsLocked,An indication of the current lock status of the door.,boolean,-,rw
Vehicle.Cabin.Door.IsOpen,An indication of whether the door is open.,boolean,-,rw
Vehicle.Cabin.Door.IsSafeLocked,An indication of whether the door is in locked safe state.,boolean,-,rw
Vehicle.Cabin.HVAC.Filter.DueDate,The current estimated filter service date.,string,-,r
Vehicle.Cabin.HVAC.Filter.DueDistance,The current remaining number of kilometers until the next micro filter service should be performed.,number,km,r
Vehicle.Cabin.HVAC.Filter.ServicesDone,The current cumulative number of micro filter services performed on the vehicle.,number,-,r
Vehicle.Cabin.HVAC.IsAirConditioningActive,Indicates the current air conditioning status.,boolean,-,rw
Vehicle.Cabin.HVAC.TargetTemperature,The currently selected desired temperature for the vehicle interior.,number,C,rw
Vehicle.Cabin.HVAC.Temperature,The currently measured temperature in the vehicle interior.,number,C,r
Vehicle.Cabin.IgnitionLock.Mode,An indication of the currently selected mode on the ignition lock switch.,string,-,r
Vehicle.Cabin.Infotainment.HMI.DisplayMessageToDriver,A function that display provided text to driver.,string,-,e
Vehicle.Cabin.Infotainment.HMI.TTSMessageToDriver,A function that reads the provided text to driver.,string,-,e
Vehicle.Cabin.Infotainment.HMI.WarnToDriver,A function that displays one of pre-provided warning to the driver.,string,-,e
Vehicle.Cabin.Infotainment.HMI.OfferChoiceToDriver,A function that displays a choice to driver and asks for his input.,string,-,e
Vehicle.Cabin.Infotainment.HMI.DateTime,The current date and time shown in the vehicle.,string,-,r
Vehicle.Cabin.Infotainment.HMI.DistanceUnit,An indication of the units (kilometers or miles) in which distances are shown on the vehicle instrument panel.,string,-,r
Vehicle.Cabin.Infotainment.Navigation.DestinationDistance,The current distance to the active navigation destination in kilometers.,number,km,r
Vehicle.Cabin.Infotainment.Navigation.DestinationETA,The estimated arrival time at the navigation destination.,string,-,r
Vehicle.Cabin.Infotainment.Navigation.DestinationSet,The current coordinates of the active navigation destination.,string,-,rw
Vehicle.Cabin.Infotainment.Navigation.FreePOINumber,Amount of POI free in the navigation system.,string,-,r
Vehicle.Cabin.Infotainment.Navigation.Landmarks,The location of and relative distance of the vehicle to known landmarks and points of interests.,string,-,r
Vehicle.Cabin.Infotainment.Navigation.POIMaxMemoryNumber,Maximum number of POI stored in the navigation system.,string,-,r
Vehicle.Cabin.Infotainment.Navigation.Range,"Remaining fuel range, as reported by navigation system.",number,km,r
Vehicle.Cabin.Infotainment.Navigation.Routing,The information required to provide directions and propose alternative routes over the onboard navigation system.,string,-,rw
Vehicle.Cabin.Key.ID,An indication of the key that is used to authorize use of the vehicle.,string,-,r
Vehicle.Cabin.Light.IsOn,In-cabing light status.,boolean,-,rw
Vehicle.Cabin.LightSwitch.Mode,The position of the light switch.,string,-,r
Vehicle.Cabin.RearviewMirror.DimmingLevel,Dimming level of rearview mirror as a percent.,number,%,rw
Vehicle.Cabin.Seat.HasPassenger,Seat occupancy status.,boolean,-,r
Vehicle.Cabin.Seat.IsBelted,An indication that seat belt is on for this seat.,boolean,-,r
Vehicle.Cabin.Seat.PreTensionerDeployed,Pre-tensioner deployment status.,boolean,-,r
Vehicle.Cabin.Sunroof.Position,Position of the sunroof (if the vehicle has one)  as a percent. 0 = Fully closed 100 = Fully opened.,number,%,rw
Vehicle.Cabin.Sunroof.Tilting,An indication of the current tilt state of the sunroof (if the vehicle has one).  0 = Fully closed 100 = Fully opened.,number,%,rw
Vehicle.Cabin.Window.Position,An indication of the window state.  0 = Fully closed 100 = Fully opened.,number,%,rw
Vehicle.Cabin.Window.State,Window state.,string,-,rw
Vehicle.Chassis.Brake.BrakesWorn,An indication of whether the brake  is worn off as a percent. 0 = no worn. 100 fully worn.,number,%,r
Vehicle.Chassis.Brake.DueDate,The estimated remaining lifetime of the brakes.,string,-,r
Vehicle.Chassis.Brake.Fluid.DueDate,The estimated remaining lifetime of the brake fluid.,string,-,r
Vehicle.Chassis.Brake.Fluid.Level,The current estimated brake fluid level.,number,%,r
Vehicle.Chassis.Brake.Fluid.LevelLowWarning,An indication of whether the brake fluid level is low.,boolean,-,r
Vehicle.Chassis.Brake.Fluid.ServiceDone,The current cumulative number of brake fluid services performed on the vehicle.,number,-,r
Vehicle.Chassis.Brake.Pad.LowWarning,An indication of whether the brake pads surface material is worn off and in need of replacement.,boolean,-,r
Vehicle.Chassis.Brake.Pad.Status,An indication of the current brake pads status.,string,-,r
Vehicle.Chassis.Brake.PedalPosition,The current relative position of the brake pedal.,number,%,r
Vehicle.Chassis.Brake.Service.DueDistance,The current remaining number of kilometers until the next brakes service should be performed.,string,-,r
Vehicle.Chassis.Brake.ServiceDone,The current cumulative number of brake services performed on the vehicle.,number,-,r
Vehicle.Chassis.CurbWeight,"Vehicle curb weight, in kg.",number,kg,r
Vehicle.Chassis.GrossWeight,"Gross weight of vehicle, in kg.",number,kg,r
Vehicle.Chassis.Height,"Overall vehicle height, in mm.",number,mm,r
Vehicle.Chassis.Length,"Overall vehicle length, in mm.",number,mm,r
Vehicle.Chassis.LiftAxle.Position,The position of lift axle.,string,-,r
Vehicle.Chassis.LiftAxle.Status,The status of lift axle.,string,-,r
Vehicle.Chassis.ParkingBrake.IsEngaged,An indication of the current parking brake status.,boolean,-,r
Vehicle.Chassis.SteeringWheel.RotationSpeed,"The current rotation speed of the steering wheel, measured in ‎rad/s.",number,km/h,r
Vehicle.Chassis.SteeringWheel.Angle,The current rotation of the steering wheel to the left or the right in radial degrees. Positive values for counterclockwise and begative values for clockwise rotation.,number,rad,r
Vehicle.Chassis.Wheel.RotationSpeed,"The current wheel rotation speed, in rad/s.",number,rad/s,r
Vehicle.Chassis.Wheel.Speed,"Current speed value in km/h, as sensed by the  wheel.",number,km/h,r
Vehicle.Chassis.Tire.Pressure,The current tire pressure value.,number,kPa,r
Vehicle.Chassis.Tire.PressureDifference,The difference from target pressure.,number,%,r
Vehicle.Chassis.Tire.PressureSensorBattery,The current remaining lifetime of the tyre pressure battery relative to their maximum intended lifetime.,string,-,r
Vehicle.Chassis.Tire.Size,Tire size label as a string.,string,-,r
Vehicle.Chassis.Tire.Speed,"Current speed value, as sensed by the tire.",number,km/h,r
Vehicle.Chassis.Tire.TargetPressure,The target pressure for the tire.,number,kPa,rw
Vehicle.Chassis.Tire.Temperature,Current tire temperature.,number,C,r
Vehicle.Chassis.TowWeight,"Trailer maximum weight, in kg.",number,kg,r
Vehicle.Chassis.Wheelbase,"Overall wheel base, in mm.",number,mm,r
Vehicle.Trailer.IsConnected,Trailer connection status.,boolean,-,r
Vehicle.Chassis.Width,"Overall vehicle width, in mm.",number,mm,r
Vehicle.Crash.IsDetected,An indication of whethera crash took place.,boolean,-,r
Vehicle.Crash.RolloverStatus,An indication of the vehicle being rolled over to the side or is upside down.,string,-,r
Vehicle.Crash.Sensors,The current measurement values provided by the impact and/or crash event sensors.,string,-,r
Vehicle.Crash.Severity,Severity of the crash.,string,-,r
Vehicle.Crash.SpeedAtImact,The speed in km/h measured by the vehicle speed sensor.,number,km/h,r
Vehicle.Diagnostics.DoIP.Establish,"Establishes UDS over IP session, as per ISO 13400-2:2019 (DoIP) and ISO 14229-1:2013 (UDS)",string,-,e
Vehicle.Diagnostics.Alternator.Current,The current alternator current of the drive battery.,number,A,r
Vehicle.Diagnostics.Alternator.Load,The current alternator load of the drive battery.,number,,r
Vehicle.Diagnostics.AcceleratorPositionD,The current normalized value of engine air mass per intake stroke expressed in percentages.,number,%,r
Vehicle.Diagnostics.AccumulatedRunTimeWithMIL,The current total continuous time elapsed since a general or emission-related malfunction indicator light (MIL) was activated by the onboard diagnostics system.,string,-,r
Vehicle.Diagnostics.ClearDTC,The job to clear DTC from the vehicle.,string,-,e
Vehicle.Diagnostics.Clutch.Status,The current clutch status as a percent. 0 is fully disconnected and 100 is fully connected.,number,%,r
Vehicle.Diagnostics.Clutch.Temperature,The current temperature of the clutch.,number,C,r
Vehicle.Diagnostics.DistanceSinceDTCClear,The current number of kilometers driven by the vehicle since any Diagnostic Trouble Codes were cleared.,number,km,r
Vehicle.Diagnostics.DistanceWithDTC,The current number of kilometers driven since a malfunction indicator light (MIL) was activated by the onboard diagnostics system.,number,km,r
Vehicle.Diagnostics.DistanceWithMIL,The current number of kilometers driven since a malfunction indicator light was activated.,number,km,r
Vehicle.Diagnostics.DTC.ID,The DTC code as logged/frozen upon detection in the on-board diagnosis system.,string,-,r
Vehicle.Diagnostics.DTC.ECU,An indication of the ECU from which a reported diagnostic trouble code originates.,string,-,r
Vehicle.Diagnostics.DTC.ReportedAt,The time at which a DTC was registered by in-vehicle diagnostics.,string,-,r
Vehicle.Diagnostics.ECU.Acceleration.Identifier,Acceleration ECU identifier.,string,-,r
Vehicle.Diagnostics.ECU.Transmission.Identifier,Transmission ECU identifier.,string,-,r
Vehicle.Diagnostics.ECUs,The list of ECUs installed.,string,-,r
Vehicle.Diagnostics.Engine.DemandedTorque,The current torque demanded by the driver as percentage of the engine's recommended maximum torque.,number,%,r
Vehicle.Diagnostics.Engine.HPA.Pressure,System Pressure of High Pressure Area.,number,kPa,r
Vehicle.Diagnostics.Engine.HPA.Temperature,System Temperature of High Pressure Area.,number,C,r
Vehicle.Diagnostics.Engine.LPA.Pressure,System Pressure of Low Pressure Area.,number,kPa,r
Vehicle.Diagnostics.Engine.LPA.Temperature,System Temperature of Low Pressure Area.,number,C,r
Vehicle.Diagnostics.Engine.StartStopNum,Number of Engine Start/Stop.,number,-,r
Vehicle.Diagnostics.Exhaust.BoostPressureMonitorCompletionConditionCounts,Boost Pressure Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.BoostPressureMonitorConditionsEncounteredCounts,Boost Pressure Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.Catalyst.Temperature,"The current temperature measured inside the catalytic converter. Values provided separately for bank 1 sensor 1, b1s2, b2s1, and b2s2.",number,C,r
Vehicle.Diagnostics.Exhaust.CommandedEVAP,The current amount of exhaust gas recirculation commanded by the powertrain control module from the EGR valve.,string,-,r
Vehicle.Diagnostics.Exhaust.EGRError,The current calculated percentual error positively or negatively deviating from the actual commanded exhaust gas recirculation.,number,%,r
Vehicle.Diagnostics.Exhaust.EVAPVaporPressure,"The current fuel vapor pressure in the evaporative emission control system, measured by a sensor in the fuel tank.",number,kPa,r
Vehicle.Diagnostics.Exhaust.EVAPVaporPressureAbsolute,"The current fuel vapor pressure in the evaporative emission control system, measured by a sensor in the fuel tank, as absolute value.",number,kPa,r
Vehicle.Diagnostics.Exhaust.EVAPVaporPressureAlternate,"The current fuel vapor pressure in the evaporative emission control system, measured by a sensor in the fuel tank, as secondary value with a wider range..",number,kPa,r
Vehicle.Diagnostics.Exhaust.Fuel Monitor Conditions Encountered Counts,Fuel Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.FuelMonitorCompletionConditionCounts,Fuel Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.Gas.Recirculation Temperature,Exhaust Gas Recirculation Temperature.,number,C,r
Vehicle.Diagnostics.Exhaust.Gas.Sensor Monitor Completion Condition Counts,Exhaust Gas Sensor Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.Gas.Sensor Monitor Conditions Encountered Counts,Exhaust Gas Sensor Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.Gas.Temperature,Exhaust Gas Temperature on Bank 2,number,C,r
Vehicle.Diagnostics.Exhaust.Manifold Surface Temperature,Manifold Surface Temperature.,number,C,r
Vehicle.Diagnostics.Exhaust.NMHC.CatalystMonitorCompletionConditionCounts,NMHC Catalyst Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NMHC.CatalystMonitorConditionsEncounteredCounts,NMHC Catalyst Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NOx.AdsorberMonitorCompletionConditionCounts,NOx Adsorber Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NOx.AdsorberMonitorConditionsEncounteredCounts,NOx Adsorber Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NOx.CatalystMonitorCompletionConditionCounts,NOx Catalyst Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NOx.CatalystMonitorConditionsEncounteredCounts,NOx Catalyst Monitor Conditions Encountered Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.NOx.NTE Control Area Status,NOx NTE Control Area Status.,string,-,r
Vehicle.Diagnostics.Exhaust.NOx.Reagent System,NOx Reagent System.,string,-,r
Vehicle.Diagnostics.Exhaust.NOx.Sensors,NOx Sensors at Current Values.,string,-,r
Vehicle.Diagnostics.Exhaust.PMFilterMonitorCompletionConditio Counts,PM Filter Monitor Completion Condition Counts.,number,-,r
Vehicle.Diagnostics.Exhaust.PMFilterMonitorConditionsEncounteredCounts,PM Filter Monitor Conditions Encountered Counts.,number,-,r
