Data Point/Feature	VSS	Primary Use Cases	Recommended Sampling
Windshield wiper status	Vehicle.Body.Windshield.Front.Wiping.System.IsWiping	Reduce accidents via accurate understanding of accident events	CHANGE
Road conditions	Not in VSS - closest are under Vehicle.ADAS.ESC.RoadFriction	Reduce accidents via accurate understanding of accident events	CHANGE
Roll-Over event		Describe accident situation	CHANGE
blinker/indicator usage		Reduce accidents via accurate understanding of accident events	
overtaking event	not in VSS	Reduce accidents via accurate understanding of accident events	CHANGE
interruption of planned maneuvre (like overtaking)		critical incident	
application of minimum risk mode (e.g. safety stop, turtle mode)		critical incident	
emergency braking event		critical incident	
manual interaction/override needed by remote operator (e.g. deactivation of ADS function)		critical incident	
start/end of emergency maneuver		critical incident	
transition demand to driver (reason)		critical event	
gross weight of vehicle	Vehicle.CurrentOverallWeight	precondition for AV-mode	
